,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.4,0.3607503607503607,0.0,100,"{""Business"": 12, ""Sports"": 9, ""Technology"": 2, ""World"": 77}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.69,0.5062908106386367,0.0,100,"{""counterfactual"": 29, ""not counterfactual"": 71}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.47,0.35818440818440817,0.0,100,"{""alarm"": 5, ""audio"": 1, ""calendar"": 6, ""cooking"": 7, ""email"": 12, ""general"": 1, ""iot"": 34, ""music"": 4, ""news"": 12, ""play"": 8, ""qa"": 4, ""transport"": 1, ""weather"": 5}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.15,0.05217391304347826,0.0,100,"{""one"": 100}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.41,0.363606946391975,0.0,100,"{""no"": 9, ""yes"": 91}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.58,0.3670886075949367,0.0,100,"{""yes"": 100}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.53,0.39673982800667434,0.0,100,"{""bragging"": 50, ""not bragging"": 50}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.55,0.52,0.0,100,"{""no"": 44, ""yes"": 56}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.85,0.8362266622993777,0.0,100,"{""no"": 30, ""yes"": 70}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.53,0.5083167695365624,0.0,100,"{""no"": 57, ""yes"": 43}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.28,0.20578333011769243,0.0,100,"{""disputed"": 3, ""not enough info"": 38, ""refuted"": 57, ""supported"": 2}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.4,0.2418154761904762,0.0,100,"{""neutral"": 9, ""risk"": 91}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.32,0.24242424242424243,0.0,100,"{""unacceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.47,0.4052294916395466,0.0,100,"{""fake"": 90, ""real"": 10}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.32,0.21957439372338075,0.0,100,"{""album"": 47, ""artist"": 18, ""company"": 20, ""educational institution"": 1, ""film"": 9, ""natural place"": 1, ""plant"": 3, ""written work"": 1}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.5,0.415614773258532,0.0,100,"{""false"": 46, ""true"": 54}","{""false"": 16, ""true"": 84}"
17,emo,0,0,0.02,0.01282051282051282,0.0,100,"{""angry"": 1, ""happy"": 23, ""sad"": 76}","{""angry"": 5, ""happy"": 3, ""others"": 90, ""sad"": 2}"
18,emotion,0,0,0.12,0.036036036036036036,0.0,100,"{""anger"": 99, ""fear"": 1}","{""anger"": 12, ""fear"": 12, ""joy"": 38, ""love"": 12, ""sadness"": 22, ""surprise"": 4}"
19,environmental_claims,0,0,0.4,0.375,0.0,100,"{""no"": 44, ""yes"": 56}","{""no"": 76, ""yes"": 24}"
20,ethos,0,0,0.48,0.38095238095238093,0.0,100,"{""hate speech"": 92, ""no hate speech"": 8}","{""hate speech"": 48, ""no hate speech"": 52}"
21,fever,0,0,0.3,0.20590318772136953,0.0,100,"{""not enough info"": 93, ""refuted"": 7}","{""not enough info"": 28, ""refuted"": 28, ""supported"": 44}"
22,financial_phrasebank,0,0,0.26,0.13978494623655915,0.0,100,"{""negative"": 2, ""neutral"": 1, ""positive"": 97}","{""negative"": 13, ""neutral"": 60, ""positive"": 27}"
23,hate_speech18,0,0,0.81,0.49454642192072357,0.0,100,"{""hate"": 15, ""no hate"": 85}","{""hate"": 6, ""no hate"": 94}"
24,health_fact,0,0,0.18,0.09278350515463918,0.0,100,"{""false"": 73, ""unproven"": 27}","{""false"": 24, ""mixture"": 17, ""true"": 56, ""unproven"": 3}"
25,i2d2,0,0,0.41,0.4027735600769309,0.0,100,"{""false"": 50, ""true"": 50}","{""false"": 39, ""true"": 61}"
26,imdb,0,0,0.47,0.3197278911564626,0.0,100,"{""positive"": 100}","{""negative"": 53, ""positive"": 47}"
27,insincere_questions,0,0,0.16,0.1569650742673625,0.0,100,"{""insincere question"": 89, ""valid question"": 11}","{""insincere question"": 5, ""valid question"": 95}"
28,is_humor,0,0,0.47,0.4501504305425874,0.0,100,"{""humorous"": 48, ""not humorous"": 52}","{""humorous"": 71, ""not humorous"": 29}"
29,jailbreak_classification,0,0,0.33,0.32670083408702644,0.0,100,"{""benign"": 55, ""jailbreak"": 45}","{""benign"": 52, ""jailbreak"": 48}"
30,lexical_rc_cogalexv,0,0,0.07,0.03232023721275019,0.0,100,"{""hypernym"": 89, ""meronym"": 2, ""synonym"": 5, ""unrelated"": 4}","{""antonym"": 11, ""hypernym"": 6, ""meronym"": 6, ""synonym"": 10, ""unrelated"": 67}"
31,lexical_rc_root09,0,0,0.27,0.2474074074074074,0.0,100,"{""co-hyponym"": 64, ""hypernym"": 35, ""unrelated"": 1}","{""co-hyponym"": 26, ""hypernym"": 15, ""unrelated"": 59}"
32,liar,0,0,0.23,0.07611740348313238,0.0,100,"{""false"": 96, ""true"": 4}","{""barely true"": 20, ""false"": 23, ""half true"": 12, ""mostly true"": 22, ""pants fire"": 4, ""true"": 19}"
33,limit,0,0,0.7,0.4684620836286322,0.0,100,"{""no"": 7, ""yes"": 93}","{""no"": 27, ""yes"": 73}"
34,logical_fallacy_detection,0,0,0.55,0.40781681800236874,0.0,100,"{""invalid"": 89, ""valid"": 11}","{""invalid"": 60, ""valid"": 40}"
35,metaphor_boolean,0,0,0.49,0.4276736617663562,0.0,100,"{""false"": 15, ""true"": 85}","{""false"": 52, ""true"": 48}"
36,mrpc,0,0,0.32,0.24242424242424243,0.0,100,"{""not equivalent"": 100}","{""equivalent"": 68, ""not equivalent"": 32}"
37,news_data,0,0,0.75,0.6036169659120478,0.0,100,"{""business"": 50, ""entertainment"": 3, ""health"": 7, ""politics"": 9, ""sports"": 31}","{""business"": 30, ""entertainment"": 3, ""health"": 13, ""politics"": 19, ""sports"": 30, ""tech"": 5}"
38,poem_sentiment,0,0,0.4,0.25399449035812677,0.0,100,"{""no impact"": 55, ""positive"": 45}","{""negative"": 19, ""no impact"": 66, ""positive"": 15}"
39,pragmeval_emergent,0,0,0.52,0.2280701754385965,0.0,100,"{""for"": 100}","{""against"": 14, ""for"": 52, ""observing"": 34}"
40,pragmeval_sarcasm,0,0,0.63,0.410734193342889,0.0,100,"{""not sarcasm"": 2, ""sarcasm"": 98}","{""not sarcasm"": 37, ""sarcasm"": 63}"
41,pragmeval_verifiability,0,0,0.74,0.2835249042145594,0.0,100,"{""non-experiential"": 1, ""unverifiable"": 99}","{""experiential"": 15, ""non-experiential"": 10, ""unverifiable"": 75}"
