,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.64,0.6308729233459632,0.0,100,"{""Business"": 41, ""Sports"": 20, ""Technology"": 21, ""World"": 18}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.59,0.5522547243535095,0.0,100,"{""Business"": 36, ""Sports"": 18, ""Technology"": 4, ""World"": 42}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.41,0.3809041835357625,0.0,100,"{""Business"": 25, ""Sports"": 12, ""Technology"": 59, ""World"": 4}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.42,0.368949719248641,0.0,100,"{""Business"": 67, ""Sports"": 11, ""Technology"": 15, ""World"": 7}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.53,0.4633872416891285,0.0,100,"{""Business"": 52, ""Sports"": 15, ""Technology"": 2, ""World"": 31}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.79,0.52,0.0,100,"{""counterfactual"": 15, ""not counterfactual"": 85}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.56,0.4282744282744283,0.0,100,"{""counterfactual"": 42, ""not counterfactual"": 58}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.19,0.18991899189918993,0.0,100,"{""counterfactual"": 91, ""not counterfactual"": 9}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.11,0.10273213025506604,0.0,100,"{""counterfactual"": 99, ""not counterfactual"": 1}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.18,0.18,0.0,100,"{""counterfactual"": 90, ""not counterfactual"": 10}","{""counterfactual"": 10, ""not counterfactual"": 90}"
