,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.31,0.24675076452599387,0.0,100,"{""Business"": 8, ""Technology"": 5, ""World"": 87}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.28,0.1725752508361204,0.0,100,"{""Business"": 7, ""World"": 93}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.52,0.5165381850441273,0.0,100,"{""Business"": 42, ""Sports"": 11, ""Technology"": 38, ""World"": 9}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.68,0.6019474724294002,0.0,100,"{""Business"": 51, ""Sports"": 27, ""Technology"": 2, ""World"": 20}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.29,0.1937328726319552,0.0,100,"{""Business"": 12, ""Sports"": 1, ""World"": 87}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.9,0.47368421052631576,0.0,100,"{""not counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.9,0.5567375886524822,0.0,100,"{""counterfactual"": 2, ""not counterfactual"": 98}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.86,0.46236559139784944,0.0,100,"{""counterfactual"": 4, ""not counterfactual"": 96}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.85,0.5178399228543876,0.0,100,"{""counterfactual"": 7, ""not counterfactual"": 93}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.85,0.4594594594594595,0.0,100,"{""counterfactual"": 5, ""not counterfactual"": 95}","{""counterfactual"": 10, ""not counterfactual"": 90}"
