,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.84,0.8248575985418092,0.0,100,"{""Business"": 45, ""Sports"": 28, ""Technology"": 11, ""World"": 16}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.77,0.7001498501498501,0.0,100,"{""Business"": 52, ""Sports"": 28, ""Technology"": 3, ""World"": 17}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.81,0.7721074657050266,0.0,100,"{""Business"": 45, ""Sports"": 29, ""Technology"": 7, ""World"": 19}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.84,0.8254940711462451,0.0,100,"{""Business"": 37, ""Sports"": 28, ""Technology"": 11, ""World"": 24}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.7,0.6401811842676316,0.0,100,"{""Business"": 55, ""Sports"": 26, ""Technology"": 4, ""World"": 15}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.43,0.3776613167376351,0.0,100,"{""counterfactual"": 61, ""not counterfactual"": 39}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.55,0.4479205005520795,0.0,100,"{""counterfactual"": 47, ""not counterfactual"": 53}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.1,0.09090909090909091,0.0,100,"{""counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.69,0.43748865904554524,0.0,100,"{""counterfactual"": 23, ""not counterfactual"": 77}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.29,0.2777947309531075,0.0,100,"{""counterfactual"": 77, ""not counterfactual"": 23}","{""counterfactual"": 10, ""not counterfactual"": 90}"
10,amazon_massive_scenario,0,8,0.48,0.2734715387493165,0.0,100,"{""alarm"": 5, ""calendar"": 11, ""email"": 12, ""iot"": 18, ""news"": 5, ""play"": 38, ""recommendation"": 8, ""weather"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
11,amazon_massive_scenario,1,8,0.26,0.18593463593463597,0.0,100,"{""calendar"": 69, ""cooking"": 1, ""email"": 1, ""iot"": 4, ""music"": 3, ""news"": 4, ""play"": 17, ""transport"": 1}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
12,amazon_massive_scenario,2,8,0.46,0.2878755017643907,0.0,100,"{""alarm"": 6, ""calendar"": 3, ""cooking"": 1, ""datetime"": 4, ""email"": 13, ""general"": 1, ""iot"": 1, ""news"": 7, ""play"": 58, ""recommendation"": 2, ""weather"": 4}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
13,amazon_massive_scenario,3,8,0.41,0.21857350122302155,0.0,100,"{""alarm"": 5, ""calendar"": 13, ""email"": 9, ""news"": 8, ""play"": 55, ""recommendation"": 7, ""weather"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
14,amazon_massive_scenario,4,8,0.3,0.17791894315862689,0.0,100,"{""alarm"": 5, ""calendar"": 66, ""email"": 4, ""news"": 2, ""play"": 22, ""weather"": 1}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
15,app_reviews,0,8,0.13,0.08877637130801688,0.0,100,"{""four"": 67, ""three"": 33}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
16,app_reviews,1,8,0.1,0.13247863247863248,0.0,100,"{""four"": 12, ""one"": 12, ""two"": 76}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
17,app_reviews,2,8,0.12,0.04444444444444444,0.0,100,"{""four"": 96, ""one"": 1, ""two"": 3}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
18,app_reviews,3,8,0.17,0.11534391534391535,0.0,100,"{""four"": 9, ""one"": 66, ""three"": 6, ""two"": 19}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
19,app_reviews,4,8,0.12,0.07389473684210526,0.0,100,"{""four"": 13, ""one"": 61, ""three"": 5, ""two"": 21}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
20,beaver_tails,0,8,0.37,0.28205128205128205,0.0,100,"{""no"": 1, ""yes"": 99}","{""no"": 64, ""yes"": 36}"
