,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.4,0.3526655776655777,0.0,100,"{""Business"": 20, ""Sports"": 10, ""Technology"": 1, ""World"": 69}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.16,0.15865384615384615,0.0,100,"{""counterfactual"": 94, ""not counterfactual"": 6}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.35,0.3239959114959115,0.0,100,"{""alarm"": 3, ""audio"": 4, ""cooking"": 20, ""email"": 8, ""iot"": 42, ""music"": 5, ""news"": 2, ""play"": 5, ""qa"": 6, ""social"": 1, ""weather"": 4}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.51,0.20943738656987296,0.0,100,"{""five"": 55, ""four"": 2, ""one"": 43}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.36,0.3055555555555556,0.0,100,"{""no"": 8, ""yes"": 92}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.59,0.5746446726838883,0.0,100,"{""no"": 39, ""yes"": 61}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.06,0.06,0.0,100,"{""bragging"": 97, ""not bragging"": 3}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.69,0.40828402366863903,0.0,100,"{""yes"": 100}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.52,0.4485294117647059,0.0,100,"{""no"": 23, ""yes"": 77}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.41,0.38278062558845066,0.0,100,"{""no"": 57, ""yes"": 43}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.34,0.1794871794871795,0.0,100,"{""not enough info"": 91, ""refuted"": 8, ""supported"": 1}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.37,0.22001197218768706,0.0,100,"{""neutral"": 10, ""risk"": 90}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.32,0.24242424242424243,0.0,100,"{""unacceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.45,0.338862844091838,0.0,100,"{""fake"": 98, ""real"": 2}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.54,0.5321103594770332,0.0,100,"{""album"": 23, ""animal"": 3, ""artist"": 3, ""athlete"": 2, ""building"": 3, ""company"": 24, ""educational institution"": 6, ""film"": 16, ""natural place"": 4, ""office holder"": 2, ""plant"": 8, ""village"": 5, ""written work"": 1}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.52,0.4725274725274725,0.0,100,"{""false"": 54, ""true"": 46}","{""false"": 16, ""true"": 84}"
17,emo,0,0,0.04,0.115,0.0,100,"{""happy"": 97, ""sad"": 3}","{""angry"": 5, ""happy"": 3, ""others"": 90, ""sad"": 2}"
18,emotion,0,0,0.17,0.15789630423776765,0.0,100,"{""anger"": 92, ""joy"": 3, ""love"": 2, ""sadness"": 1, ""surprise"": 2}","{""anger"": 12, ""fear"": 12, ""joy"": 38, ""love"": 12, ""sadness"": 22, ""surprise"": 4}"
19,environmental_claims,0,0,0.3,0.28600571195430435,0.0,100,"{""no"": 10, ""yes"": 90}","{""no"": 76, ""yes"": 24}"
20,ethos,0,0,0.54,0.47987336047037543,0.0,100,"{""hate speech"": 86, ""no hate speech"": 14}","{""hate speech"": 48, ""no hate speech"": 52}"
21,fever,0,0,0.28,0.16599462365591397,0.0,100,"{""not enough info"": 96, ""refuted"": 4}","{""not enough info"": 28, ""refuted"": 28, ""supported"": 44}"
22,financial_phrasebank,0,0,0.49,0.3284950343773873,0.0,100,"{""negative"": 2, ""neutral"": 59, ""positive"": 39}","{""negative"": 13, ""neutral"": 60, ""positive"": 27}"
23,hate_speech18,0,0,0.7,0.53125,0.0,100,"{""hate"": 34, ""no hate"": 66}","{""hate"": 6, ""no hate"": 94}"
24,health_fact,0,0,0.24,0.0967741935483871,0.0,100,"{""false"": 100}","{""false"": 24, ""mixture"": 17, ""true"": 56, ""unproven"": 3}"
25,i2d2,0,0,0.54,0.4875222816399287,0.0,100,"{""false"": 29, ""true"": 71}","{""false"": 39, ""true"": 61}"
26,imdb,0,0,0.77,0.7647058823529411,0.0,100,"{""negative"": 32, ""positive"": 68}","{""negative"": 53, ""positive"": 47}"
27,insincere_questions,0,0,0.12,0.11964785914365747,0.0,100,"{""insincere question"": 93, ""valid question"": 7}","{""insincere question"": 5, ""valid question"": 95}"
28,is_humor,0,0,0.72,0.5257452574525745,0.0,100,"{""humorous"": 93, ""not humorous"": 7}","{""humorous"": 71, ""not humorous"": 29}"
29,jailbreak_classification,0,0,0.31,0.30660235152246007,0.0,100,"{""benign"": 41, ""jailbreak"": 59}","{""benign"": 52, ""jailbreak"": 48}"
30,lexical_rc_cogalexv,0,0,0.06,0.022641509433962266,0.0,100,"{""hypernym"": 100}","{""antonym"": 11, ""hypernym"": 6, ""meronym"": 6, ""synonym"": 10, ""unrelated"": 67}"
31,lexical_rc_root09,0,0,0.15,0.08695652173913043,0.0,100,"{""hypernym"": 100}","{""co-hyponym"": 26, ""hypernym"": 15, ""unrelated"": 59}"
32,liar,0,0,0.21,0.0603448275862069,0.0,100,"{""false"": 93, ""half true"": 3, ""pants fire"": 1, ""true"": 3}","{""barely true"": 20, ""false"": 23, ""half true"": 12, ""mostly true"": 22, ""pants fire"": 4, ""true"": 19}"
33,limit,0,0,0.74,0.46013289036544847,0.0,100,"{""no"": 1, ""yes"": 99}","{""no"": 27, ""yes"": 73}"
